NO.,NOMBRE DE VARIABLE,DESCRIPCION,FORMATO O FUENTE
1,FECHA_ACTUALIZACION,LA BASE DE DATOS SE ACTUALIZA SEMANALMENTE. ESTA VARIABLE PERMITE IDENTIFICAR LA ÚLTIMA ACTUALIZACIÓN .,"AAAA-MM-DD, 9999-99-99: CUANDO NO HAY REGISTRO"
2,ID_REGISTRO,NÚMERO DE INDETIFICADOR DEL CASO,TEXTO 
3,SEXO,IDENTIFICA EL SEXO DEL PACIENTE,CATÁLOGO: SEXO
4,EDAD_ANOS,IDENTIFICA LA EDAD EN AÑOS DEL PACIENTE,NÚMERICA EN AÑOS
5,ENTIDAD_RES,IDENTIFICA LA ENTIDAD DE RESIDENCIA DEL PACIENTE,CATÁLOGO: ENTIDADES
6,MUNICIPIO_RES,IDENTIFICA EL MUNICIPIO DE RESIDENCIA DEL PACIENTE,CATÁLOGO: MUNICIPIOS
7,HABLA_LENGUA_INDIG,IDENTIFICA SI EL PACIENTE HABLA LENGUA INDIGENA,CATÁLOGO: SI /NO
8,INDIGENA,IDENTIFICA SI EL PACIENTE SE AUTOIDENTIFICA COMO PERSONA INDIGENA,CATÁLOGO: SI /NO
9,ENTIDAD_UM_NOTIF,IDENTIFICA LA ENTIDAD DONDE SE ENCUENTRA LA UNIDAD MEDICA NOTIFICANTE,CATÁLOGO: ENTIDADES
10,MUNICIPIO_UM_NOTIF,IDENTIFICA EL MUNICIPIO DONDE SE ENCUENTRA LA UNIDAD MEDICA NOTIFICANTE,CATÁLOGO: MUNICIPIOS
11,INSTITUCION_UM_NOTIF,IDENTIFICA LA INSTITUCIÓN DE LA UNIDAD MEDICA NOTIFICANTE ,CATÁLOGO: INSTITUCIÓN
12,FECHA_SIGN_SINTOMAS,IDENTIFICA LA FECHA DE INICIO DE SIGNOS Y SINTOMAS DEL CUADRO CLÍNICO ACTUAL,"AAAA-MM-DD, 9999-99-99: CUANDO NO HAY REGISTRO"
13,TIPO_PACIENTE,IDENTIFICA EL TIPO DE ATENCIÓN QUE RECIBIÓ EL PACIENTE EN LA UNIDAD. SE DENOMINA COMO AMBULATORIO SI REGRESÓ A SU CASA O SE DENOMINA COMO HOSPITALIZADO SI FUE INGRESADO A HOSPITALIZACIÓN,CATÁLOGO: TIPO_PACIENTE
14,HEMORRAGICOS,PRESENCIA DE TRASTORNOS HEMORRÁGICOS,CATÁLOGO: SI /NO
15,DIABETES,PRESENCIA DE DIABETES,CATÁLOGO: SI /NO
16,HIPERTENSION,PRESENCIA DE HIPERTENSIÓN ,CATÁLOGO: SI /NO
17,ENFERMEDAD ULC_PEPTICA,PRESENCIA DE ENFERMEDAD ULCERO PÉPTICA,CATÁLOGO: SI /NO
18,ENFERMEDAD_RENAL,PRESENCIA DE ENFERMEDAD RENAL ,CATÁLOGO: SI /NO
19,INMUNOSUPR,PRESENCIA DE INMUNOSUPRESIÓN,CATÁLOGO: SI /NO
20,CIRROSIS_HEPATICA,PRESENCIA DE CIRROSIS HEPÁTICA,CATÁLOGO: SI /NO
21,EMBARAZO,IDENTIFICA SI LA PACIENTE ESTÁ EMBARAZADA   ,CATÁLOGO: SI /NO
22,DEFUNCION,INDICA SI EL PACIENTE FALLECIÓ,CATÁLOGO: SI /NO
23,DICTAMEN,IDENTIFICA EL RESULTADO DE LA DICTAMINACIÓN PARA EL PACIENTE,CATÁLOGO: DICTAMEN
24,TOMA_MUESTRA,IDENTIFICA SI AL PACIENTE SE LE TOMÓ MUESTRA,CATÁLOGO: SI /NO
25,RESULTADO PCR,IDENTIFICA EL RESULTADO DE LA PRUEBA PCR REALIZADA POR EL LABORATORIO,CATÁLOGO: RESULTADO_PCR
26,ESTATUS_CASO,ESTATUS DEL CASO,CATÁLOGO: ESTATUS_CASO
27,ENTIDAD_ASIG,IDENTIFICA LA ENTIDAD A LA QUE SE ASIGNÓ EL CASO,CATÁLOGO: ENTIDADES
28,MUNICIPIO_ASIG,IDENTIFICA EL MUNICIPIO AL QUE SE ASIGNÓ EL CASO,CATÁLOGO: MUNICIPIOS
